date,headline,body,sentiment_hint,ticker
2023-02-08,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 64,120,100. Analysts continue to monitor market conditions.",negative,AAPL
2023-02-09,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 56,007,100. Analysts continue to monitor market conditions.",negative,AAPL
2023-02-10,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 57,450,700. Analysts continue to monitor market conditions.",neutral,AAPL
2023-02-13,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 62,199,000. Analysts continue to monitor market conditions.",positive,AAPL
2023-02-14,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 61,707,600. Analysts continue to monitor market conditions.",neutral,AAPL
2023-02-15,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 65,573,800. Analysts continue to monitor market conditions.",positive,AAPL
2023-02-16,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 68,167,900. Analysts continue to monitor market conditions.",negative,AAPL
2023-02-17,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 59,144,100. Analysts continue to monitor market conditions.",negative,AAPL
2023-02-21,AAPL drops amid market concerns,"AAPL drops amid market concerns. Trading volume: 58,867,200. Analysts continue to monitor market conditions.",negative,AAPL
2023-02-22,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 51,011,300. Analysts continue to monitor market conditions.",neutral,AAPL
2023-02-23,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 48,394,200. Analysts continue to monitor market conditions.",neutral,AAPL
2023-02-24,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 55,469,600. Analysts continue to monitor market conditions.",negative,AAPL
2023-02-27,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 44,998,500. Analysts continue to monitor market conditions.",positive,AAPL
2023-02-28,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 50,547,000. Analysts continue to monitor market conditions.",neutral,AAPL
2023-03-01,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 55,479,000. Analysts continue to monitor market conditions.",negative,AAPL
2023-03-02,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 52,238,100. Analysts continue to monitor market conditions.",neutral,AAPL
2023-03-03,AAPL surges as investors show strong confidence,"AAPL surges as investors show strong confidence. Trading volume: 70,732,300. Analysts continue to monitor market conditions.",positive,AAPL
2023-03-06,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 87,558,000. Analysts continue to monitor market conditions.",positive,AAPL
2023-03-07,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 56,182,000. Analysts continue to monitor market conditions.",negative,AAPL
2023-03-08,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 47,204,800. Analysts continue to monitor market conditions.",positive,AAPL
2023-03-09,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 53,833,600. Analysts continue to monitor market conditions.",negative,AAPL
2023-03-10,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 68,572,400. Analysts continue to monitor market conditions.",negative,AAPL
2023-03-13,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 84,457,100. Analysts continue to monitor market conditions.",positive,AAPL
2023-03-14,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 73,695,900. Analysts continue to monitor market conditions.",positive,AAPL
2023-03-15,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 77,167,900. Analysts continue to monitor market conditions.",neutral,AAPL
2023-03-16,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 76,161,100. Analysts continue to monitor market conditions.",positive,AAPL
2023-03-17,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 98,944,600. Analysts continue to monitor market conditions.",negative,AAPL
2023-03-20,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 73,641,400. Analysts continue to monitor market conditions.",positive,AAPL
2023-03-21,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 73,938,300. Analysts continue to monitor market conditions.",positive,AAPL
2023-03-22,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 75,701,800. Analysts continue to monitor market conditions.",negative,AAPL
2023-03-23,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 67,622,100. Analysts continue to monitor market conditions.",positive,AAPL
2023-03-24,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 59,196,500. Analysts continue to monitor market conditions.",positive,AAPL
2023-03-27,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 52,390,300. Analysts continue to monitor market conditions.",negative,AAPL
2023-03-28,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 45,992,200. Analysts continue to monitor market conditions.",neutral,AAPL
2023-03-29,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 51,305,700. Analysts continue to monitor market conditions.",positive,AAPL
2023-03-30,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 49,501,700. Analysts continue to monitor market conditions.",positive,AAPL
2023-03-31,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 68,749,800. Analysts continue to monitor market conditions.",positive,AAPL
2023-04-03,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 56,976,200. Analysts continue to monitor market conditions.",positive,AAPL
2023-04-04,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 46,278,300. Analysts continue to monitor market conditions.",neutral,AAPL
2023-04-05,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 51,511,700. Analysts continue to monitor market conditions.",negative,AAPL
2023-04-06,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 45,390,100. Analysts continue to monitor market conditions.",positive,AAPL
2023-04-10,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 47,716,900. Analysts continue to monitor market conditions.",negative,AAPL
2023-04-11,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 47,644,200. Analysts continue to monitor market conditions.",negative,AAPL
2023-04-12,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 50,133,100. Analysts continue to monitor market conditions.",neutral,AAPL
2023-04-13,AAPL surges as investors show strong confidence,"AAPL surges as investors show strong confidence. Trading volume: 68,445,600. Analysts continue to monitor market conditions.",positive,AAPL
2023-04-14,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 49,386,500. Analysts continue to monitor market conditions.",neutral,AAPL
2023-04-17,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 41,516,200. Analysts continue to monitor market conditions.",neutral,AAPL
2023-04-18,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 49,923,000. Analysts continue to monitor market conditions.",positive,AAPL
2023-04-19,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 47,720,200. Analysts continue to monitor market conditions.",positive,AAPL
2023-04-20,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 52,456,400. Analysts continue to monitor market conditions.",negative,AAPL
2023-04-21,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 58,337,300. Analysts continue to monitor market conditions.",negative,AAPL
2023-04-24,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 41,949,600. Analysts continue to monitor market conditions.",neutral,AAPL
2023-04-25,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 48,714,100. Analysts continue to monitor market conditions.",negative,AAPL
2023-04-26,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 45,498,800. Analysts continue to monitor market conditions.",neutral,AAPL
2023-04-27,AAPL surges as investors show strong confidence,"AAPL surges as investors show strong confidence. Trading volume: 64,902,300. Analysts continue to monitor market conditions.",positive,AAPL
2023-04-28,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 55,275,900. Analysts continue to monitor market conditions.",positive,AAPL
2023-05-01,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 52,472,900. Analysts continue to monitor market conditions.",neutral,AAPL
2023-05-02,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 48,425,700. Analysts continue to monitor market conditions.",negative,AAPL
2023-05-03,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 65,136,000. Analysts continue to monitor market conditions.",negative,AAPL
2023-05-04,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 81,235,400. Analysts continue to monitor market conditions.",negative,AAPL
2023-05-05,AAPL surges as investors show strong confidence,"AAPL surges as investors show strong confidence. Trading volume: 113,453,200. Analysts continue to monitor market conditions.",positive,AAPL
2023-05-08,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 55,962,800. Analysts continue to monitor market conditions.",neutral,AAPL
2023-05-09,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 45,326,900. Analysts continue to monitor market conditions.",negative,AAPL
2023-05-10,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 53,724,500. Analysts continue to monitor market conditions.",positive,AAPL
2023-05-11,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 49,514,700. Analysts continue to monitor market conditions.",neutral,AAPL
2023-05-12,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 45,533,100. Analysts continue to monitor market conditions.",negative,AAPL
2023-05-15,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 37,266,700. Analysts continue to monitor market conditions.",neutral,AAPL
2023-05-16,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 42,110,300. Analysts continue to monitor market conditions.",neutral,AAPL
2023-05-17,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 57,951,600. Analysts continue to monitor market conditions.",neutral,AAPL
2023-05-18,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 65,496,700. Analysts continue to monitor market conditions.",positive,AAPL
2023-05-19,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 55,809,500. Analysts continue to monitor market conditions.",neutral,AAPL
2023-05-22,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 43,570,900. Analysts continue to monitor market conditions.",negative,AAPL
2023-05-23,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 50,747,300. Analysts continue to monitor market conditions.",negative,AAPL
2023-05-24,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 45,143,500. Analysts continue to monitor market conditions.",neutral,AAPL
2023-05-25,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 56,058,300. Analysts continue to monitor market conditions.",positive,AAPL
2023-05-26,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 54,835,000. Analysts continue to monitor market conditions.",positive,AAPL
2023-05-30,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 55,964,400. Analysts continue to monitor market conditions.",positive,AAPL
2023-05-31,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 99,625,300. Analysts continue to monitor market conditions.",neutral,AAPL
2023-06-01,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 68,901,800. Analysts continue to monitor market conditions.",positive,AAPL
2023-06-02,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 61,996,900. Analysts continue to monitor market conditions.",neutral,AAPL
2023-06-05,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 121,946,500. Analysts continue to monitor market conditions.",negative,AAPL
2023-06-06,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 64,848,400. Analysts continue to monitor market conditions.",neutral,AAPL
2023-06-07,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 61,944,600. Analysts continue to monitor market conditions.",negative,AAPL
2023-06-08,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 50,214,900. Analysts continue to monitor market conditions.",positive,AAPL
2023-06-09,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 48,900,000. Analysts continue to monitor market conditions.",neutral,AAPL
2023-06-12,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 54,274,900. Analysts continue to monitor market conditions.",positive,AAPL
2023-06-13,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 54,929,100. Analysts continue to monitor market conditions.",neutral,AAPL
2023-06-14,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 57,462,900. Analysts continue to monitor market conditions.",neutral,AAPL
2023-06-15,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 65,433,200. Analysts continue to monitor market conditions.",positive,AAPL
2023-06-16,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 101,256,200. Analysts continue to monitor market conditions.",negative,AAPL
2023-06-20,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 49,799,100. Analysts continue to monitor market conditions.",neutral,AAPL
2023-06-21,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 49,515,700. Analysts continue to monitor market conditions.",negative,AAPL
2023-06-22,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 51,245,300. Analysts continue to monitor market conditions.",positive,AAPL
2023-06-23,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 53,117,000. Analysts continue to monitor market conditions.",neutral,AAPL
2023-06-26,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 48,088,700. Analysts continue to monitor market conditions.",negative,AAPL
2023-06-27,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 50,730,800. Analysts continue to monitor market conditions.",positive,AAPL
2023-06-28,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 51,216,800. Analysts continue to monitor market conditions.",positive,AAPL
2023-06-29,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 46,347,300. Analysts continue to monitor market conditions.",neutral,AAPL
2023-06-30,AAPL surges as investors show strong confidence,"AAPL surges as investors show strong confidence. Trading volume: 85,213,200. Analysts continue to monitor market conditions.",positive,AAPL
2023-07-03,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 31,458,200. Analysts continue to monitor market conditions.",negative,AAPL
2023-07-05,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 46,920,300. Analysts continue to monitor market conditions.",negative,AAPL
2023-07-06,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 45,094,300. Analysts continue to monitor market conditions.",neutral,AAPL
2023-07-07,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 46,815,000. Analysts continue to monitor market conditions.",negative,AAPL
2023-07-10,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 59,922,200. Analysts continue to monitor market conditions.",negative,AAPL
2023-07-11,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 46,638,100. Analysts continue to monitor market conditions.",neutral,AAPL
2023-07-12,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 60,750,200. Analysts continue to monitor market conditions.",positive,AAPL
2023-07-13,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 41,342,300. Analysts continue to monitor market conditions.",neutral,AAPL
2023-07-14,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 41,616,200. Analysts continue to monitor market conditions.",neutral,AAPL
2023-07-17,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 50,520,200. Analysts continue to monitor market conditions.",positive,AAPL
2023-07-18,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 48,288,200. Analysts continue to monitor market conditions.",neutral,AAPL
2023-07-19,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 80,507,300. Analysts continue to monitor market conditions.",positive,AAPL
2023-07-20,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 59,581,200. Analysts continue to monitor market conditions.",negative,AAPL
2023-07-21,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 71,951,700. Analysts continue to monitor market conditions.",negative,AAPL
2023-07-24,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 45,377,800. Analysts continue to monitor market conditions.",neutral,AAPL
2023-07-25,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 37,283,200. Analysts continue to monitor market conditions.",neutral,AAPL
2023-07-26,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 47,471,900. Analysts continue to monitor market conditions.",neutral,AAPL
2023-07-27,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 47,460,200. Analysts continue to monitor market conditions.",negative,AAPL
2023-07-28,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 48,291,400. Analysts continue to monitor market conditions.",positive,AAPL
2023-07-31,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 38,824,100. Analysts continue to monitor market conditions.",neutral,AAPL
2023-08-01,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 35,175,100. Analysts continue to monitor market conditions.",neutral,AAPL
2023-08-02,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 50,389,300. Analysts continue to monitor market conditions.",negative,AAPL
2023-08-03,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 61,235,200. Analysts continue to monitor market conditions.",negative,AAPL
2023-08-04,AAPL drops amid market concerns,"AAPL drops amid market concerns. Trading volume: 115,956,800. Analysts continue to monitor market conditions.",negative,AAPL
2023-08-07,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 97,576,100. Analysts continue to monitor market conditions.",negative,AAPL
2023-08-08,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 67,823,000. Analysts continue to monitor market conditions.",positive,AAPL
2023-08-09,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 60,378,500. Analysts continue to monitor market conditions.",negative,AAPL
2023-08-10,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 54,686,900. Analysts continue to monitor market conditions.",neutral,AAPL
2023-08-11,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 52,036,700. Analysts continue to monitor market conditions.",neutral,AAPL
2023-08-14,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 43,675,600. Analysts continue to monitor market conditions.",positive,AAPL
2023-08-15,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 43,622,600. Analysts continue to monitor market conditions.",negative,AAPL
2023-08-16,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 46,964,900. Analysts continue to monitor market conditions.",neutral,AAPL
2023-08-17,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 66,062,900. Analysts continue to monitor market conditions.",negative,AAPL
2023-08-18,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 61,172,200. Analysts continue to monitor market conditions.",neutral,AAPL
2023-08-21,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 46,311,900. Analysts continue to monitor market conditions.",positive,AAPL
2023-08-22,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 42,038,900. Analysts continue to monitor market conditions.",positive,AAPL
2023-08-23,AAPL surges as investors show strong confidence,"AAPL surges as investors show strong confidence. Trading volume: 52,722,800. Analysts continue to monitor market conditions.",positive,AAPL
2023-08-24,AAPL drops amid market concerns,"AAPL drops amid market concerns. Trading volume: 54,945,800. Analysts continue to monitor market conditions.",negative,AAPL
2023-08-25,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 51,449,600. Analysts continue to monitor market conditions.",positive,AAPL
2023-08-28,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 43,820,700. Analysts continue to monitor market conditions.",positive,AAPL
2023-08-29,AAPL surges as investors show strong confidence,"AAPL surges as investors show strong confidence. Trading volume: 53,003,900. Analysts continue to monitor market conditions.",positive,AAPL
2023-08-30,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 60,813,900. Analysts continue to monitor market conditions.",positive,AAPL
2023-08-31,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 60,794,500. Analysts continue to monitor market conditions.",neutral,AAPL
2023-09-01,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 45,766,500. Analysts continue to monitor market conditions.",positive,AAPL
2023-09-05,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 45,280,000. Analysts continue to monitor market conditions.",neutral,AAPL
2023-09-06,AAPL drops amid market concerns,"AAPL drops amid market concerns. Trading volume: 81,755,800. Analysts continue to monitor market conditions.",negative,AAPL
2023-09-07,AAPL drops amid market concerns,"AAPL drops amid market concerns. Trading volume: 112,488,800. Analysts continue to monitor market conditions.",negative,AAPL
2023-09-08,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 65,551,300. Analysts continue to monitor market conditions.",neutral,AAPL
2023-09-11,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 58,953,100. Analysts continue to monitor market conditions.",positive,AAPL
2023-09-12,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 90,370,200. Analysts continue to monitor market conditions.",negative,AAPL
2023-09-13,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 84,267,900. Analysts continue to monitor market conditions.",negative,AAPL
2023-09-14,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 60,895,800. Analysts continue to monitor market conditions.",positive,AAPL
2023-09-15,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 109,259,500. Analysts continue to monitor market conditions.",neutral,AAPL
2023-09-18,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 67,257,600. Analysts continue to monitor market conditions.",positive,AAPL
2023-09-19,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 51,826,900. Analysts continue to monitor market conditions.",positive,AAPL
2023-09-20,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 58,436,200. Analysts continue to monitor market conditions.",negative,AAPL
2023-09-21,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 63,149,100. Analysts continue to monitor market conditions.",negative,AAPL
2023-09-22,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 56,725,400. Analysts continue to monitor market conditions.",neutral,AAPL
2023-09-25,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 46,172,700. Analysts continue to monitor market conditions.",positive,AAPL
